text,label
"""Tu comportamiento es inaceptable."", ""tóxico"""
"""Es un desastre hablar contigo."", ""tóxico"""
"""Te critico porque creo que eres un perdedor."", ""tóxico"""
"""Lo que hiciste fue inaceptable."", ""tóxico"""
"""Siempre estás en lo mismo."", ""tóxico"""
"""Tu crítica no es constructiva."", ""tóxico"""
"""Me da pena tu situación."", ""normal"""
"""El cine de esta semana fue impresionante."", ""normal"""
"""Disfruté de la serie que me recomendaste."", ""normal"""
"""¿Qué opinas sobre el nuevo libro que leíste?"", ""normal"""
"""¡El clima es perfecto para un picnic!"", ""normal"""
"""Estoy muy emocionado por el fin de semana."", ""normal"""
"""Mi pasatiempo favorito es la fotografía."", ""normal"""
"""El café de esta cafetería es delicioso."", ""normal"""
"""Las flores en el jardín están floreciendo."", ""normal"""
"""El ejercicio es importante para la salud."", ""normal"""
"""Me gusta aprender cosas nuevas."", ""normal"""
"""Hoy voy a hacer una caminata por el parque."", ""normal"""
"""Es genial pasar tiempo con amigos."", ""normal"""
"""Estoy disfrutando de un buen libro."", ""normal"""
"""Las vacaciones son una gran oportunidad para descansar."", ""normal"""
"""Me siento agradecido por lo que tengo."", ""normal"""
"""Siempre trato de ver el lado positivo."", ""normal"""
"""Las artes y la cultura son fundamentales."", ""normal"""
"""Me encanta probar diferentes tipos de cocina."", ""normal"""
"""El arte puede ser muy inspirador."", ""normal"""
"""Los viajes me enriquecen mucho."", ""normal"""
